T,M,Time
1,1,4.349351
1,10,14.508592
1,20,19.027044
1,30,21.848969
1,40,24.599826
1,50,29.406871
1,100,29.990609
10,1,0.108473
10,10,1.294428
10,20,1.781508
10,30,2.533006
10,40,2.982120
10,50,3.388874
10,100,3.579328
20,1,0.107917
20,10,0.665273
20,20,1.079910
20,30,1.297609
20,40,1.505347
20,50,1.769097
20,100,1.893427
