T,M,Time
1,1,6.651486
1,10,24.730766
1,20,40.666222
1,30,45.332705
1,40,50.893276
1,50,59.642466
1,100,60.635918
10,1,0.430628
10,10,2.505381
10,20,3.802672
10,30,4.725669
10,40,5.610345
10,50,6.333632
10,100,6.479014
20,1,0.465532
20,10,1.458092
20,20,2.203484
20,30,2.721768
20,40,3.160546
20,50,3.541751
20,100,3.601818
